default,Identifier,Filter,Remarks,eng,rus,esn,ptb,de,plk,ita,fr,jpn,mki,,ben,eng,zh
"You found the Chainsaw, find some meat!!! (Slot 1)",GOTCHAINSAW,,,,"Вы нашли бензопилу, теперь устрой мясо!!! (Слот 1)","Encontraste la Motosierra, ¡A buscar algo de carne! (Slot 1)",Você obteve a Motoserra! procure alguma carne! (Slot 1),,"Zdobyłeś piłę łańcuchową, znajdź trochę mięsa! (Slot 1)","Hai trovato la Motosega, ora trovati della carne!!! (Slot 1)",,あなたはチェーンソーを見つけ、肉を見つけよう！ （スロット1）,"Ја најде Моторната пила, сега најди некое месо! (Слот 1)",,,,
You got the Axe!,GOTAXE,,,,Вы нашли топор!,¡Obtuviste el Hacha!,Você obteve o Machado!,,Zdobyłeś siekierę! (Slot 1),Hai raccolto l'Ascia! (Slot 1),,あなたは斧を手に入れました！,Ја имаш секирата!,,,,
You got the UAC .45 Pistol! (Slot 2),GOTPISTOL,,,,Вы нашли пистолет ОАК .45! (Слот 2),¡Obtuviste la Pistola UAC .45! (Slot 2),Você obteve a Pistola UAC .45! (Slot 2),,Zdobyłeś pistolet UAC .45! (Slot 2),Hai raccolto la Pistola UAC .45! (Slot 2),,あなたはUAC .45ピストルを手に入れました！ （スロット2）,Го најде пиштолот UAC .45! (Слот 2),,,,
You got the UAC .500 Magnum! (Slot 2),GOTMAGNUM,,,,Вы нашли магнум ОАК .500!  (Слот 2),¡Obtuviste la Magnum UAC .500! (Slot 2),Você obteve a UAC .500 Magnum! (Slot 2),,Zdobyłeś rewolwer UAC .500 Magnum! (Slot 2),Hai raccolto la Magnum UAC .500! (Slot 2),,あなたはUAC .500マグナムを手に入れました！ （スロット2）,Го најде Магнум UAC 500! (Слот 2),,,,
You found the UAC Compact Sub-Machine Gun! (Slot 2),GOTSMG,,,,Вы нашли компактный ПП ОАК! (Слот 2),¡Encontraste el Subfusil compacto UAC!,Você obteve a Sub-metralhadora UAC Compacta! (Slot 2),,Zdobyłeś kompaktowy pistolet maszynowy UAC! (Slot 2),Hai raccolto la Mitraglietta UAC! (Slot 2),,あなたはUACコンパクトサブマシンガンを見つけました！ （スロット2）,Го најде UAC компактниот автоматски пиштол! (Слот 2),,,,
%o was shot down by %k's UAC17 Compact Sub-Machine Gun.,SMGOBITUARY,,,,%o был подстрелен компактным ПП ОАК17 игрока %k.,%o fue derrivado por el Subfusil UAC17 de %k.,%o foi atingido e morto pela Sub-metralhadora UAC17 compacta de %k.,,%o został postrzelony kompaktowym pistoletem maszynowym UAC17 przez %k.,%o è stato abbattuto dalla Mitraglietta UAC17 di %k.,,％oは％kのUAC17コンパクトサブマシンガンによって撃墜されました。,% o беше соборен од UAC17 компактниот автоматски пиштол на% k.,,,,
You got the UAC-MGL automatic grenade launcher! (Slot 5),GOTSGL,,,,Вы нашли автоматический гранатомёт ОАК-МПГ! (Слот 5) ,¡Obtuviste el Lanzagranadas Automatico UAC-MGL! (Slot 5),Você obteve o Lança granadas automático UAC! (Slot 5),,Zdobyłeś automatyczny granatnik UAC-MGL! (Slot 5),Hai raccolto il Lanciagranate Automatico UAC-MGL! (Slot 5),,あなたはUAC-MGL自動手榴弾ランチャーを手に入れました！ （スロット5）,Го најде UAC-MGL автоматскиот фрлач на гранати! (Слот 5),,,,
You got the UAC Guided Rocket Launcher! (Slot 5),GOTRL,,,,Вы нашли ракетницу ОАК с лазерным наведением! (Слот 5),¡Obtuviste el Lanzacohetes Teledirigido UAC! (Slot 5),Você obteve o Lançador de Foguetes teleguiados UAC! (Slot 5),,Zdobyłeś namierzającą wyrzutnię rakiet UAC! (Slot 5),Hai raccolto il Lanciarazzi Guidato UAC! (Slot 5),,あなたはUACガイド付きロケットランチャーを手に入れました！ （スロット5）,Го најде  ракетниот фрлач UAC со ласерска технологија! (Слот 5),,,,
You got the Excavator! (Slot 5),GOTEXCAVATOR,,,,Вы нашли Землекоп! (Слот 5),¡Obtuviste el Excavador! (Slot 5),Você obteve o Escavador! (slot 5),,Zdobyłeś Ekskawator! (Slot 5),Hai raccolto l'Escavatore! (Slot 5),,あなたは掘削機を手に入れました！ （スロット5）,Го најде Багерот! (Слот 5),,,,
You got the UAC240 Heavy Nailgun!,GOTNAILGUN,,,,Вы нашли Тяжёлый Гвоздомёт ОАК240! ,¡Obtuviste el Arma Clavadora Pesada UAC240!,Você obteve a Arma de Pregos Pesada UAC240! (Slot 5),,Zdobyłeś ciężki pistolet na gwoździe UAC240!,Hai raccolto la Sparachiodi Pesante UAC240!,,あなたはUAC240ヘビーネイルガンを手に入れました！,Го најде митралезот со клинци наместо куршуми UAC240!,,,,
%o became a leaking piece of meat by %k's heavy nailgun.,NAILGUNOBITUARY,,,,%o стал текучим куском мяса от тяжёлого гвоздомёта %k,%o se convirtio en carne goteando por la Clavadora de %k.,%o foi perfurado até se virar um pedaço de carne pela Arma de pregos de %k's,,%o został ociekającym kawałkiem mięsa przez ciężki pistolet na gwoździe %k.,%o è diventato un pezzo di carne sanguinolento grazie alla Sparachiodi Pesante di %k.,,％oの重いネイルガン銃によって％oは漏れた肉片になりました。,% o стана тежок дел од месото од митралезот на% k.,,,,
You got the UAC-349 Light Machine Gun UPGRADE!!!,GOTLMG,,,,Вы нашли улучшение лёгкого пулемета ОАК-349!!!,¡Obtuviste la mejora de la Ametralladora Ligera UAC-349!,Você obteve a Metralhadora Leve UAC-349! (Upgrade),,Zdobyłeś ulepszenie do lekkiego karabinu maszynowego UAC-349!,Hai raccolto l'UPGRADE per la Mitragliatrice Leggera UAC-349!!!,,あなたはUAC-349ライトマシンガンをアップグレードしました！,Го најде лесниот митралез UAC-349!!!,,,,
%o became a leaking piece of meat by %k's light machine gun.,LMGOBITUARY,,,,%o стал текучим куском мяса от лёгкого пулемёта %k,%o se convirtio en carne goteando por la Ametralladora de %k.,,,%o został ociekającym kawałkiem mięsa przez lekki karabin maszynowy %k.,%o è diventato un pezzo di carne sanguinolento grazie alla Mitragliatrice Leggera di %k.,,％kの軽機関銃によって％oが漏れている肉片になった,% о стана парче месо од лесниот пиштол% k,,,,
You got the UAC30 DMR! (Slot 4),GOTDMR,,,,Вы нашли автомат ОАК30! (Слот 4),¡Obtuviste el UAC30 DMR! (Slot 4),,,Zdobyłeś DMR UAC30! (Slot 4),Hai raccolto il DMR UAC30! (Slot 4),,あなたはUAC30 DMRを手に入れました！ （スロット4）,Ја најде автоматската пушка UAC30! (Слот 4),,,,您拾起 UAC30 DMR！（鍵盤 4）
%o was shot down by %k's DMR.,DMROBITUARY,,,,%o был подстрелен автоматом игрока %k.,%o fue derrivado por el DMR de %k.,,,%o został postrzelony DMR %k.,%o è stato abbattuto dal DMR di %k.,,％oは％kのDMRによって撃墜されました。,% o беше соборен од пушката на% k.,,,,%o 被 %k 用 DMR 擊落。
You got the DMR Grenade Launcher Upgrade!!!,GOTDMRUPGRADE,,,,Вы нашли подствольный гранатомет для автомата!!!,¡Obtuviste la mejora Lanzagranadas para el DMR!,,,Zdobyłeś ulepszenie granatnika do DMR!,Hai raccolto l'upgrade per il Lanciagranate DMR!!!,,DMRのグレネードランチャーアップグレードを手に入れた！,Ја пронајде надградбата за автоматската пушка: Фрлач на гранати!,,,,您拾起 DMR 榴彈發射器改裝！！！
You got the Minigun Upgrade!!!,GOTMINIGUNUPGRADE,,,,Вы нашли улучшение для минигана!!!,¡Obtuviste la mejora de la Minigun!,,,Zdobyłeś ulepszenie do miniguna!,Hai raccolto l'upgrade per la Minigun!!!,,ミニガンアップグレード！,Ја пронајде надградбата за Мinigun!!!,,,,您拾起機槍改裝！！！
You got the UAC Mach-3 Minigun! (Slot 4),GOTMINIGUN,,,,Вы нашли миниган ОАК Mach-3! (Слот 3),¡Obtuviste la Minigun UAC Mach-3! (Slot 4),,,Zdobyłeś minigun UAC Mach-3! (Slot 4),Hai raccolto la Minigun UAC Mach-3! (Slot 4),,あなたはUAC Mach-3ミニガンを手に入れました！ （スロット4）,Го најде UAC Mach-3 Minigun! (Слот 4),,,,您拾起 UAC Mach-3 機槍！（鍵盤 4）
%o became Swiss Cheese by %k's Gatling Gun,MINIGUNOBITUARY,,,,%o стал Швейцарским Сыром от минигана %k,%o se volvió queso suizo por la Gatling Gun de %k.,,,%o zamienił się w ser szwajcarski przez miniguna %k.,%o è diventato un Emmental grazie alla Gatling di %k.,,％oが％kのガトリング砲によってスイスチーズになりました,% o стана Швајцарско сирење од гатлингот на % k ,,,,%o 被 %k 用加特林機槍射到邊成瑞士起司。
You got the UAC41 Carbine! (Slot 4),GOTCARBINE,,,,Вы нашли карабин ОАК41! (Слот 4),¡Obtuviste la Carabina UAC41! (Slot 4),,,Zdobyłeś karabin UAC41! (Slot 4),Hai raccolto la Carabina UAC41! (Slot 4),,あなたはUAC41カービン銃を手に入れました！ （スロット4）,Ја најде пушката Карбин UAC41! (Слот 4),,,,您拾起 UAC41 馬槍！（鍵盤 4）
%o was shot down by %k's Combat Rifle.,CARBINEOBITUARY,,,,%o был подстрелен автоматом игрока %k,%o due derrivado por el Rifle de Combate de %k.,,,%o został postrzelony karabinem bojowym %k.,%o è stato abbattuto dal Fucile da Assalto di %k.,,％oは％kのコンバットライフルによって撃墜されました。,% o беше соборен од пушката на % k.,,,,%o 被 %k 用戰鬥步槍擊落。
You got the UAC-M1 Plasma Rifle! (Slot 6),GOTM1PLASMA,,,,Вы нашли плазменное ружьё ОАК-М1! (Слот 6),¡Obtuviste el Rifle Plasma UAC-M1! (Slot 6),,,Zdobyłeś karabin plazmowy UAC-M1! (Slot 6),Hai raccolto il Fucile al Plasma UAC-M1! (Slot 6),,あなたはUAC-M1プラズマライフルを手に入れました！ （スロット6）,Ја најде плазма пушката UAC-M1! (Слот 6),,,,您拾起 UAC-M1 等離子步槍！（鍵盤 6）
You got the UAC-M2 Heavy Plasma Rifle! (Slot 6),GOTM2PLASMA,,,,Вы нашли тяжёлое плазменное ружьё ОАК-М2! (Слот 6),¡Obtuviste el Rifle Pesado de Plasma UAC-M2! (Slot 6),,,Zdobyłeś ciężki karabin plazmowy UAC-M2! (Slot 6),Hai raccolto il Fucile al Plasma Pesante UAC-M2! (Slot 6),,あなたはUAC-M2ヘビープラズマライフルを手に入れました！ （スロット6）,Ја најде алтернативната варијанта на плазма пушката: UAC-M2! (Слот 6) ,,,,您拾起 UAC-M2 重型等離子步槍！（鍵盤 6）
You got the M2 Lightning Mode Upgrade!!,GOTM2UPGRADE,,,,Вы нашли улучшение режима молнии для М2!!,¡Obtuviste la mejora Modo Trueno de el M2!,,,Zdobyłeś ulepszenie karabinu plazmowego UAC-M2!,Hai raccolto l'upgrade per la modalità Spara-Fulmini dell'M2!!,,あなたはM2雷モードのアップグレードを手に入れました！,Ја пронајде надградбата за плазма пушката M2: Mолњен режим!,,,,您拾起 M2 雷電模式改裝！！
You got the Dark Matter Rifle Upgrade!!!,GOTM1DARKUPGRADE,,,,Вы нашли улучшение до ружья чёрной материи!!!,¡Obtuviste la mejora del Rifle de Materia Oscura!,,,Zdobyłeś ulepszenie karabinu czarnej materii!,Hai raccolto l'upgrade per il Fucile a Materia Oscura!!!,,ダークマターライフルを手に入れた！,Ја пронајде надградбата: Плазма пушка составена од темна материја !!!,,,,您拾起暗物質步槍改裝！！！
%o's was vaporized by %k's Dark Matter Rifle.,PULSECANNONOBITUARY,,,,%o был испарен ружьем черной материи %k,%o fue vaporizado por el Rifle de Materia Oscura de %k.,,,%o został zewaporyzowany karabinem czarnej materii %k.,%o è stato vaporizzato dal Fucile a Materia Oscura di %k.,,％o'sは％kのダークマターライフルによって気化されました。,% o беше испарен од Плазма пушката составена од темна материја на %k.,,,%o's was vapourized by %k's Dark Matter Rifle.,%o 被 %k 用暗物質人間蒸化。
You got the UAC-MKIII Railgun! (Slot 7),GOTRAILGUN,,,,Вы нашли рельсовую пушку ОАК-MKIII! (слот 7),¡Obtuviste el Cañón de Riel UAC-MKIII! (Slot 7),,,Zdobyłeś Railgun UAC-MKIII! (Slot 7),Hai raccolto la Railgun UAC-MKIII! (Slot 7),,あなたはUAC-MKIIIレールガンを手に入れました！ （スロット7）,Го најде UAC-MKIII Ласерскиот снајпер! (Слот 7),,,,您拾起 UAC-MKIII 軌道炮!（鍵盤 7）
%o was pierced by %k's Railgun.,RAILOBITUARY,,,,%o был пробит рельсовой пушкой %k,%o fue perforado por el Cañon de Riel de %k.,,,%o przeszył promień Railguna %k.,%o è stato trapassato dalla Railgun di %k.,,％oは％kのレールガンによって突き刺されました。,% o беше пресечен од снајперот на %k,,,,%o 被 %k 用軌道炮刺穿。
You got the BFG 9000 Mark IV! (Slot 8),GOTBFG9KMKIV,,,,Вы нашли BFG 9000 Mark IV! (Слот 8),¡Obtuviste la BFG 9000 Mark IV! (Slot 8),,,Zdobyłeś BFG 9000 Mk IV! (Slot 8),Hai raccolto il BFG 9000 Mk. IV! (Slot 8),,あなたはBFG 9000 Mark IVを手に入れました！ （スロット8）,Го најде BFG 9000 Mark IV! (Слот 8),,,,您拾起 BFG 9000 Mark IV!（鍵盤 8）
